# Enemy Drop Tables
FORMAT: Each ## is one enemy. Tables list what that enemy drops: mods, blueprints, resources, sigils with rarity and exact % chance.
INDEX: Enemy Mod Drop Tables (860 entries) | Enemy Blueprint Drop Tables (88 entries) | Resource Drops by Enemy (826 entries) | Sigil Drops by Enemy (57 entries) | Additional Item Drops by Enemy (37 entries)

# Enemy Mod Drop Tables
Every enemy and which mods they drop, organized by enemy name with base mod drop chances.

## Scaldra Screamer
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Arcane Truculence | Uncommon | 12.50% |
| Arcane Bellicose | Uncommon | 12.50% |
| Arcane Camisado | Uncommon | 12.50% |
| Melee Doughty | Uncommon | 12.50% |
| Secondary Enervate | Uncommon | 12.50% |
| Primary Crux | Uncommon | 12.50% |
| Arcane Impetus | Uncommon | 12.50% |
| Arcane Crepuscular | Uncommon | 12.50% |

## Scaldra Ti-92
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 37.94% |
| Vitality | Common | 37.94% |
| Heated Charge | Uncommon | 11.06% |
| Diamond Skin | Uncommon | 11.06% |
| Heavy Trauma | Legendary | 0.50% |
| Streamline | Legendary | 0.50% |
| Iron Phoenix | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## H-09 Efervon Tank
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Arcane Truculence | Uncommon | 12.50% |
| Arcane Bellicose | Uncommon | 12.50% |
| Arcane Camisado | Uncommon | 12.50% |
| Melee Doughty | Uncommon | 12.50% |
| Secondary Enervate | Uncommon | 12.50% |
| Primary Crux | Uncommon | 12.50% |
| Arcane Impetus | Uncommon | 12.50% |
| Arcane Crepuscular | Uncommon | 12.50% |

## H-09 Apex
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Arcane Truculence | Uncommon | 12.50% |
| Arcane Bellicose | Uncommon | 12.50% |
| Arcane Camisado | Uncommon | 12.50% |
| Melee Doughty | Uncommon | 12.50% |
| Secondary Enervate | Uncommon | 12.50% |
| Primary Crux | Uncommon | 12.50% |
| Arcane Impetus | Uncommon | 12.50% |
| Arcane Crepuscular | Uncommon | 12.50% |

## Techrot Obsolyte
**Base Mod Drop Chance:** 2.00%
| Mod | Rarity | Chance |
|---|---|---|
| 50 Endo | Common | 66.67% |
| Threat Blocker | Uncommon | 11.11% |
| Magnetized Cycle | Rare | 5.56% |
| Turbo Protect | Rare | 5.56% |
| Magnetic Capacity | Rare | 5.56% |
| Magnetic Welt | Rare | 5.56% |

## Techrot Babau
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 50 Endo | Common | 63.16% |
| Threat Blocker | Uncommon | 10.53% |
| Magnetized Core | Rare | 3.51% |
| Magnetized Cycle | Rare | 3.51% |
| Turbo Protect | Rare | 3.51% |
| Quick Correct | Rare | 3.51% |
| Magnetic Strafe | Rare | 3.51% |
| 80 Endo | Rare | 3.51% |
| Instant Secure | Rare | 2.63% |
| Immuno Shield | Rare | 2.63% |

## Techrot Skuzzi
**Base Mod Drop Chance:** 2.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 35.00% |
| Instant Secure | Uncommon | 15.00% |
| Immuno Shield | Uncommon | 15.00% |
| Threat Blocker | Uncommon | 10.00% |
| Pistol Acuity | Rare | 6.67% |
| Magnetic Welt | Rare | 6.67% |
| 80 Endo | Rare | 6.67% |
| 50 Endo | Rare | 5.00% |

## Techrot Galliflex
**Base Mod Drop Chance:** 2.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 43.80% |
| 50 Endo | Uncommon | 12.51% |
| Instant Secure | Uncommon | 10.43% |
| Immuno Shield | Uncommon | 10.43% |
| Magnetic Rush | Rare | 6.26% |
| Magnetic Capacity | Rare | 6.26% |
| Magnetic Claws | Rare | 6.26% |
| Quick Correct | Rare | 4.07% |

## Techrot Volatile Galliflex
**Base Mod Drop Chance:** 2.00%
| Mod | Rarity | Chance |
|---|---|---|
| 50 Endo | Common | 46.60% |
| 15 Endo | Uncommon | 20.39% |
| Instant Secure | Uncommon | 10.68% |
| Immuno Shield | Uncommon | 10.68% |
| Quick Correct | Rare | 3.88% |
| Magnetic Rush | Rare | 3.88% |
| Magnetic Claws | Rare | 3.88% |

## Techrot Matmas
**Base Mod Drop Chance:** 2.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 39.77% |
| Threat Blocker | Uncommon | 11.36% |
| Instant Secure | Uncommon | 11.36% |
| Immuno Shield | Uncommon | 11.36% |
| 50 Endo | Rare | 5.68% |
| Magnetized Core | Rare | 4.55% |
| Turbo Protect | Rare | 4.55% |
| Quick Correct | Rare | 4.55% |
| Magnetic Strafe | Rare | 4.55% |
| 80 Endo | Rare | 2.27% |

## Techrot Scaart
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| 50 Endo | Uncommon | 22.11% |
| Magnetized Core | Legendary | 0.67% |
| Magnetized Cycle | Legendary | 0.67% |
| Magnetic Strafe | Legendary | 0.67% |

## Scaldra Flayer
**Base Mod Drop Chance:** 2.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 76.52% |
| 50 Endo | Uncommon | 15.15% |
| Worthy Comradery | Rare | 5.30% |
| Radon Claws | Rare | 3.03% |

## Scaldra Dedicant
**Base Mod Drop Chance:** 2.00%
| Mod | Rarity | Chance |
|---|---|---|
| 50 Endo | Common | 76.19% |
| Primary Acuity | Rare | 9.52% |
| Merciless Gunfight | Rare | 4.76% |
| Spectral Serration | Rare | 4.76% |
| 80 Endo | Rare | 4.76% |

## Scaldra Eradicator
**Base Mod Drop Chance:** 2.00%
| Mod | Rarity | Chance |
|---|---|---|
| Summoner's Wrath | Common | 45.56% |
| 50 Endo | Common | 45.56% |
| Pistol Acuity | Rare | 4.44% |
| Spectral Serration | Rare | 4.44% |

## Scaldra Jaeger
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 61.98% |
| Worthy Comradery | Uncommon | 15.55% |
| 50 Endo | Uncommon | 15.55% |
| Primary Acuity | Rare | 3.46% |
| Radon Claws | Rare | 3.46% |

## Scaldra Barbican
**Base Mod Drop Chance:** 2.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 80.39% |
| Summoner's Wrath | Rare | 7.84% |
| Merciless Gunfight | Rare | 3.92% |
| Pistol Acuity | Rare | 3.92% |
| 50 Endo | Rare | 3.92% |

## The Sergeant
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Magazine Warp | Common | 38.72% |
| Thief's Wit | Common | 38.72% |
| Shocking Touch | Rare | 7.52% |
| Reflex Coil | Rare | 7.52% |
| Reflex Coil | Rare | 7.52% |

## Vem Tabook
**Base Mod Drop Chance:** 25.00%
| Mod | Rarity | Chance |
|---|---|---|
| Barrel Diffusion | Uncommon | 20.00% |
| Split Chamber | Uncommon | 20.00% |
| Hell's Chamber | Uncommon | 20.00% |
| Natural Talent | Uncommon | 20.00% |
| 80 Endo | Uncommon | 20.00% |

## Leekter
**Base Mod Drop Chance:** 50.00%
| Mod | Rarity | Chance |
|---|---|---|
| Barrel Diffusion | Uncommon | 20.00% |
| Split Chamber | Uncommon | 20.00% |
| Hell's Chamber | Uncommon | 20.00% |
| Natural Talent | Uncommon | 20.00% |
| 80 Endo | Uncommon | 20.00% |

## Shik Tal
**Base Mod Drop Chance:** 50.00%
| Mod | Rarity | Chance |
|---|---|---|
| Barrel Diffusion | Uncommon | 20.00% |
| Split Chamber | Uncommon | 20.00% |
| Hell's Chamber | Uncommon | 20.00% |
| Natural Talent | Uncommon | 20.00% |
| 80 Endo | Uncommon | 20.00% |

## Executioner Zura
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| 50 Endo | Uncommon | 22.11% |
| 80 Endo | Rare | 2.01% |

## Executioner Garesh
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| 50 Endo | Uncommon | 22.11% |
| 80 Endo | Rare | 2.01% |

## Executioner Harkonar
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| 50 Endo | Uncommon | 22.11% |
| 80 Endo | Rare | 2.01% |

## Executioner Reth
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| 50 Endo | Uncommon | 22.11% |
| 80 Endo | Rare | 2.01% |

## Executioner Dhurnam
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| Silent Battery | Common | 45.83% |
| 50 Endo | Common | 45.83% |
| 80 Endo | Rare | 8.33% |

## Executioner Vay Molta
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| 50 Endo | Uncommon | 22.11% |
| 80 Endo | Rare | 2.01% |

## Executioner Dok Thul
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| 50 Endo | Uncommon | 22.11% |
| 80 Endo | Rare | 2.01% |

## Executioner Nok
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| 50 Endo | Uncommon | 22.11% |
| 80 Endo | Rare | 2.01% |

## Executioner Gorth
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| 50 Endo | Uncommon | 22.11% |
| 80 Endo | Rare | 2.01% |

## Amalgam Moa
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
