# Mission & Bounty Drop Tables
FORMAT: Mission rewards organized by ## Planet, ### Node — Mode. Rotation rewards in tables: Item | Rarity | Chance. Bounties show tier rewards with stage and % in tables.
INDEX: Mission Rewards (24 entries) | Sortie Rewards (1 entries) | Transient Rewards (51 entries) | Key Rewards (24 entries) | Cetus Bounty Rewards (10 entries) | Solaris Bounty Rewards (11 entries) | Deimos Bounty Rewards (12 entries) | Zariman Bounty Rewards (5 entries) | Entrati Lab Rewards (5 entries) | Hex Bounty Rewards (7 entries)

# Mission Rewards
All mission reward tables organized by planet and node. Shows game mode, rotation rewards (A/B/C), item names, rarity, and exact drop percentages.

## Mercury
### Apollodorus — Survival
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 2,000 Credits Cache | Common | 50.00% |
| 100 Endo | Common | 50.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Parry | Rare | 7.69% |
| Steel Fiber | Rare | 7.69% |
| Serration | Rare | 7.69% |
| Incendiary Coat | Rare | 7.69% |
| Hornet Strike | Rare | 7.69% |
| Intensify | Rare | 7.69% |
| Lith C14 Relic | Rare | 7.69% |
| Lith E2 Relic | Rare | 7.69% |
| Lith K12 Relic | Rare | 7.69% |
| Lith N18 Relic | Rare | 7.69% |
| Lith G14 Relic | Rare | 7.69% |
| Lith N19 Relic | Rare | 7.69% |
| Lith Q2 Relic | Rare | 7.69% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Arrow Mutation | Rare | 3.76% |
| Rifle Ammo Mutation | Rare | 3.76% |
| Sniper Ammo Mutation | Rare | 3.76% |
| Shotgun Ammo Mutation | Rare | 3.76% |
| Pistol Ammo Mutation | Rare | 3.76% |
| Cleanse Grineer | Rare | 3.76% |
| Lith C14 Relic | Uncommon | 11.06% |
| Lith E2 Relic | Uncommon | 11.06% |
| Lith K12 Relic | Uncommon | 11.06% |
| Lith N18 Relic | Uncommon | 11.06% |
| Lith G14 Relic | Uncommon | 11.06% |
| Lith N19 Relic | Uncommon | 11.06% |
| Lith Q2 Relic | Uncommon | 11.06% |

### Lares — Defense
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Magazine Warp | Rare | 9.09% |
| Trick Mag | Rare | 9.09% |
| Pressure Point | Rare | 9.09% |
| Ammo Drum | Rare | 9.09% |
| Lith K12 Relic | Rare | 9.09% |
| Lith E2 Relic | Rare | 9.09% |
| Lith G14 Relic | Rare | 9.09% |
| Lith Q2 Relic | Rare | 9.09% |
| Lith N18 Relic | Rare | 9.09% |
| Lith N19 Relic | Rare | 9.09% |
| Lith C14 Relic | Rare | 9.09% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Reflex Coil | Rare | 7.69% |
| Cryo Rounds | Rare | 7.69% |
| Hell's Chamber | Rare | 7.69% |
| Shocking Touch | Rare | 7.69% |
| 100 Endo | Rare | 7.69% |
| Meso D8 Relic | Rare | 7.69% |
| Meso X1 Relic | Rare | 7.69% |
| Meso A10 Relic | Rare | 7.69% |
| Meso V13 Relic | Rare | 7.69% |
| Meso L4 Relic | Rare | 7.69% |
| Meso V15 Relic | Rare | 7.69% |
| Meso E7 Relic | Rare | 7.69% |
| Meso A9 Relic | Rare | 7.69% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Metal Auger | Rare | 7.69% |
| Ravage | Rare | 7.69% |
| Continuity | Rare | 7.69% |
| Master Thief | Rare | 7.69% |
| 200 Endo | Rare | 7.69% |
| Meso D8 Relic | Rare | 7.69% |
| Meso X1 Relic | Rare | 7.69% |
| Meso A10 Relic | Rare | 7.69% |
| Meso V13 Relic | Rare | 7.69% |
| Meso L4 Relic | Rare | 7.69% |
| Meso V15 Relic | Rare | 7.69% |
| Meso E7 Relic | Rare | 7.69% |
| Meso A9 Relic | Rare | 7.69% |

### Caloris — Rescue
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Vapor Specter Blueprint | Common | 100.00% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Phase Specter Blueprint | Common | 100.00% |

### Elion — Capture
| Item | Rarity | Chance |
|---|---|---|
| Vitality | Uncommon | 10.84% |
| Fast Deflection | Uncommon | 10.84% |
| Rush | Uncommon | 11.06% |
| Magazine Warp | Uncommon | 10.84% |
| Trick Mag | Uncommon | 10.84% |
| Pressure Point | Legendary | 0.34% |
| Ammo Drum | Uncommon | 11.06% |
| Fast Hands | Uncommon | 10.84% |
| Quickdraw | Uncommon | 10.84% |
| Health Restore (Large) | Uncommon | 10.84% |
| Omni Ammo Box | Legendary | 0.34% |
| North Wind | Legendary | 0.34% |
| Shocking Touch | Legendary | 0.34% |
| Molten Impact | Legendary | 0.34% |
| Stretch | Legendary | 0.34% |

### Terminus (Caches) — Caches
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 2,500 Credits Cache | Common | 100.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 22.11% |
| 400 Endo | Rare | 1.01% |
| 400 Endo | Rare | 1.01% |
| 240X Polymer Bundle | Uncommon | 12.65% |
| 750X Circuits | Uncommon | 12.65% |
| 750X Alloy Plate | Uncommon | 12.65% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 80 Endo | Uncommon | 15.10% |
| 150 Endo | Uncommon | 15.10% |
| Morphics | Uncommon | 15.10% |
| Gallium | Uncommon | 15.10% |
| Neurodes | Uncommon | 15.10% |
| 2X Morphics | Rare | 5.50% |
| 2X Gallium | Rare | 5.50% |
| 2X Neurodes | Rare | 5.50% |
| 160 Endo | Rare | 5.50% |
| Argon Crystal | Legendary | 0.67% |
| Tellurium | Legendary | 0.67% |
| Nitain Extract | Legendary | 0.67% |
| Xiphos Fuselage Blueprint | Legendary | 0.50% |

### Tolstoj — Assassination
| Item | Rarity | Chance |
|---|---|---|
| Seer Blueprint | Common | 38.72% |
| Seer Barrel | Common | 38.72% |
| Seer Receiver | Uncommon | 22.56% |

### Neruda (Caches) — Caches (Event)
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 2,500 Credits Cache | Common | 100.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 22.11% |
| 400 Endo | Rare | 1.01% |
| 400 Endo | Rare | 1.01% |
| 240X Polymer Bundle | Uncommon | 12.65% |
| 750X Circuits | Uncommon | 12.65% |
| 750X Alloy Plate | Uncommon | 12.65% |
