# Relics & Item Drop Locations
FORMAT: Relics by ## Era Name, ### Refinement State with reward tables. Mod/Blueprint locations: ## Item Name with enemy tables showing drop %.
INDEX: Void Relics (756 entries) | Mod Drop Locations (648 entries) | Blueprint Drop Locations (179 entries)

# Void Relics
Complete relic drop table. Each relic lists its tier (Lith/Meso/Neo/Axi), refinement state, and all possible rewards with drop chances by rarity (Common, Uncommon, Rare).

## Axi A1
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Akstiletto Prime Barrel | Uncommon | 11.00% |
| Trinity Prime Systems Blueprint | Uncommon | 25.33% |
| Fragor Prime Head | Uncommon | 25.33% |
| Dual Kamas Prime Handle | Uncommon | 11.00% |
| Braton Prime Stock | Uncommon | 25.33% |
| Nikana Prime Blueprint | Rare | 2.00% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Akstiletto Prime Barrel | Uncommon | 13.00% |
| Trinity Prime Systems Blueprint | Uncommon | 23.33% |
| Fragor Prime Head | Uncommon | 23.33% |
| Dual Kamas Prime Handle | Uncommon | 13.00% |
| Braton Prime Stock | Uncommon | 23.33% |
| Nikana Prime Blueprint | Rare | 4.00% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Akstiletto Prime Barrel | Uncommon | 17.00% |
| Trinity Prime Systems Blueprint | Uncommon | 20.00% |
| Fragor Prime Head | Uncommon | 20.00% |
| Dual Kamas Prime Handle | Uncommon | 17.00% |
| Braton Prime Stock | Uncommon | 20.00% |
| Nikana Prime Blueprint | Rare | 6.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Akstiletto Prime Barrel | Uncommon | 20.00% |
| Trinity Prime Systems Blueprint | Uncommon | 16.67% |
| Fragor Prime Head | Uncommon | 16.67% |
| Dual Kamas Prime Handle | Uncommon | 20.00% |
| Braton Prime Stock | Uncommon | 16.67% |
| Nikana Prime Blueprint | Uncommon | 10.00% |

## Axi A10
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 2.00% |
| Wukong Prime Chassis Blueprint | Uncommon | 11.00% |
| Paris Prime Grip | Uncommon | 11.00% |
| Akbronco Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Stradavar Prime Receiver | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 4.00% |
| Wukong Prime Chassis Blueprint | Uncommon | 13.00% |
| Paris Prime Grip | Uncommon | 13.00% |
| Akbronco Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |
| Stradavar Prime Receiver | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 6.00% |
| Wukong Prime Chassis Blueprint | Uncommon | 17.00% |
| Paris Prime Grip | Uncommon | 17.00% |
| Akbronco Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Stradavar Prime Receiver | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Uncommon | 10.00% |
| Wukong Prime Chassis Blueprint | Uncommon | 20.00% |
| Paris Prime Grip | Uncommon | 20.00% |
| Akbronco Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Stradavar Prime Receiver | Uncommon | 16.67% |

## Axi A11
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Atlas Prime Neuroptics Blueprint | Rare | 2.00% |
| Pangolin Prime Blade | Uncommon | 11.00% |
| Wukong Prime Systems Blueprint | Uncommon | 11.00% |
| Zhuge Prime String | Uncommon | 25.33% |
| Fang Prime Blueprint | Uncommon | 25.33% |
| Burston Prime Receiver | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Atlas Prime Neuroptics Blueprint | Rare | 4.00% |
| Pangolin Prime Blade | Uncommon | 13.00% |
| Wukong Prime Systems Blueprint | Uncommon | 13.00% |
| Zhuge Prime String | Uncommon | 23.33% |
| Fang Prime Blueprint | Uncommon | 23.33% |
| Burston Prime Receiver | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Atlas Prime Neuroptics Blueprint | Rare | 6.00% |
| Pangolin Prime Blade | Uncommon | 17.00% |
| Wukong Prime Systems Blueprint | Uncommon | 17.00% |
| Zhuge Prime String | Uncommon | 20.00% |
| Fang Prime Blueprint | Uncommon | 20.00% |
| Burston Prime Receiver | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Atlas Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Pangolin Prime Blade | Uncommon | 20.00% |
| Wukong Prime Systems Blueprint | Uncommon | 20.00% |
| Zhuge Prime String | Uncommon | 16.67% |
| Fang Prime Blueprint | Uncommon | 16.67% |
| Burston Prime Receiver | Uncommon | 16.67% |

## Axi A12
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Akbolto Prime Receiver | Rare | 2.00% |
| Helios Prime Systems | Uncommon | 11.00% |
| Banshee Prime Blueprint | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Mirage Prime Chassis Blueprint | Uncommon | 25.33% |
| Kogake Prime Boot | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Akbolto Prime Receiver | Rare | 4.00% |
| Helios Prime Systems | Uncommon | 13.00% |
| Banshee Prime Blueprint | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Mirage Prime Chassis Blueprint | Uncommon | 23.33% |
| Kogake Prime Boot | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Akbolto Prime Receiver | Rare | 6.00% |
| Helios Prime Systems | Uncommon | 17.00% |
| Banshee Prime Blueprint | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Mirage Prime Chassis Blueprint | Uncommon | 20.00% |
| Kogake Prime Boot | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Akbolto Prime Receiver | Uncommon | 10.00% |
| Helios Prime Systems | Uncommon | 20.00% |
| Banshee Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Mirage Prime Chassis Blueprint | Uncommon | 16.67% |
| Kogake Prime Boot | Uncommon | 16.67% |

## Axi A13
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 2.00% |
| Orthos Prime Blueprint | Uncommon | 11.00% |
| Pangolin Prime Blade | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Burston Prime Receiver | Uncommon | 25.33% |
| Inaros Prime Systems Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 4.00% |
| Orthos Prime Blueprint | Uncommon | 13.00% |
| Pangolin Prime Blade | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Burston Prime Receiver | Uncommon | 23.33% |
| Inaros Prime Systems Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 6.00% |
| Orthos Prime Blueprint | Uncommon | 17.00% |
| Pangolin Prime Blade | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Burston Prime Receiver | Uncommon | 20.00% |
| Inaros Prime Systems Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Uncommon | 10.00% |
| Orthos Prime Blueprint | Uncommon | 20.00% |
| Pangolin Prime Blade | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Burston Prime Receiver | Uncommon | 16.67% |
| Inaros Prime Systems Blueprint | Uncommon | 16.67% |

## Axi A14
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 2.00% |
| Karyst Prime Handle | Uncommon | 11.00% |
| Nidus Prime Blueprint | Uncommon | 11.00% |
| Zakti Prime Receiver | Uncommon | 25.33% |
| Paris Prime Blueprint | Uncommon | 25.33% |
| Volnus Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 4.00% |
| Karyst Prime Handle | Uncommon | 13.00% |
| Nidus Prime Blueprint | Uncommon | 13.00% |
| Zakti Prime Receiver | Uncommon | 23.33% |
| Paris Prime Blueprint | Uncommon | 23.33% |
| Volnus Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 6.00% |
| Karyst Prime Handle | Uncommon | 17.00% |
| Nidus Prime Blueprint | Uncommon | 17.00% |
| Zakti Prime Receiver | Uncommon | 20.00% |
| Paris Prime Blueprint | Uncommon | 20.00% |
| Volnus Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Uncommon | 10.00% |
| Karyst Prime Handle | Uncommon | 20.00% |
| Nidus Prime Blueprint | Uncommon | 20.00% |
| Zakti Prime Receiver | Uncommon | 16.67% |
| Paris Prime Blueprint | Uncommon | 16.67% |
| Volnus Prime Blueprint | Uncommon | 16.67% |

## Axi A15
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 2.00% |
| Oberon Prime Systems Blueprint | Uncommon | 11.00% |
| Ivara Prime Systems Blueprint | Uncommon | 11.00% |
| Baza Prime Receiver | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Sybaris Prime Stock | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 4.00% |
| Oberon Prime Systems Blueprint | Uncommon | 13.00% |
| Ivara Prime Systems Blueprint | Uncommon | 13.00% |
| Baza Prime Receiver | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |
| Sybaris Prime Stock | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 6.00% |
| Oberon Prime Systems Blueprint | Uncommon | 17.00% |
| Ivara Prime Systems Blueprint | Uncommon | 17.00% |
| Baza Prime Receiver | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Sybaris Prime Stock | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Uncommon | 10.00% |
| Oberon Prime Systems Blueprint | Uncommon | 20.00% |
| Ivara Prime Systems Blueprint | Uncommon | 20.00% |
| Baza Prime Receiver | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Sybaris Prime Stock | Uncommon | 16.67% |

## Axi A16
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Afuris Prime Receiver | Rare | 2.00% |
| Revenant Prime Systems Blueprint | Uncommon | 11.00% |
| Harrow Prime Neuroptics Blueprint | Uncommon | 11.00% |
| Scourge Prime Blade | Uncommon | 25.33% |
| Braton Prime Blueprint | Uncommon | 25.33% |
| Fang Prime Handle | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Afuris Prime Receiver | Rare | 4.00% |
| Revenant Prime Systems Blueprint | Uncommon | 13.00% |
| Harrow Prime Neuroptics Blueprint | Uncommon | 13.00% |
| Scourge Prime Blade | Uncommon | 23.33% |
| Braton Prime Blueprint | Uncommon | 23.33% |
| Fang Prime Handle | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Afuris Prime Receiver | Rare | 6.00% |
| Revenant Prime Systems Blueprint | Uncommon | 17.00% |
| Harrow Prime Neuroptics Blueprint | Uncommon | 17.00% |
| Scourge Prime Blade | Uncommon | 20.00% |
| Braton Prime Blueprint | Uncommon | 20.00% |
| Fang Prime Handle | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Afuris Prime Receiver | Uncommon | 10.00% |
| Revenant Prime Systems Blueprint | Uncommon | 20.00% |
| Harrow Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Scourge Prime Blade | Uncommon | 16.67% |
| Braton Prime Blueprint | Uncommon | 16.67% |
| Fang Prime Handle | Uncommon | 16.67% |

## Axi A17
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Afuris Prime Receiver | Rare | 2.00% |
| Orthos Prime Blueprint | Uncommon | 11.00% |
| Shade Prime Blueprint | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Wisp Prime Systems Blueprint | Uncommon | 25.33% |
| Braton Prime Barrel | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Afuris Prime Receiver | Rare | 4.00% |
| Orthos Prime Blueprint | Uncommon | 13.00% |
| Shade Prime Blueprint | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Wisp Prime Systems Blueprint | Uncommon | 23.33% |
| Braton Prime Barrel | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Afuris Prime Receiver | Rare | 6.00% |
| Orthos Prime Blueprint | Uncommon | 17.00% |
| Shade Prime Blueprint | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Wisp Prime Systems Blueprint | Uncommon | 20.00% |
| Braton Prime Barrel | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Afuris Prime Receiver | Uncommon | 10.00% |
| Orthos Prime Blueprint | Uncommon | 20.00% |
| Shade Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Wisp Prime Systems Blueprint | Uncommon | 16.67% |
| Braton Prime Barrel | Uncommon | 16.67% |

## Axi A18
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Acceltra Prime Stock | Rare | 2.00% |
| Akbronco Prime Link | Uncommon | 11.00% |
| Hildryn Prime Chassis Blueprint | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Paris Prime Lower Limb | Uncommon | 25.33% |
| Cobra & Crane Prime Hilt | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Acceltra Prime Stock | Rare | 4.00% |
| Akbronco Prime Link | Uncommon | 13.00% |
| Hildryn Prime Chassis Blueprint | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Paris Prime Lower Limb | Uncommon | 23.33% |
| Cobra & Crane Prime Hilt | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Acceltra Prime Stock | Rare | 6.00% |
| Akbronco Prime Link | Uncommon | 17.00% |
| Hildryn Prime Chassis Blueprint | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Paris Prime Lower Limb | Uncommon | 20.00% |
| Cobra & Crane Prime Hilt | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Acceltra Prime Stock | Uncommon | 10.00% |
| Akbronco Prime Link | Uncommon | 20.00% |
